id,competition,season,datetime,minute,result,x,y,x_g,player,h_a,player_id,situation,shot_type,match_id,team_home,team_away,goals_home,goals_away,date,player_assisted,last_action
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,18,ShotOnPost,0.9359999847412109,0.5520000076293945,0.08337810635566711,Thomas Müller,a,224,OpenPlay,Head,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,Benjamin Pavard,Aerial
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,43,MissedShots,0.9330000305175781,0.315,0.010859300382435322,Leroy Sané,a,337,OpenPlay,Head,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,Kingsley Coman,Cross
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,57,MissedShots,0.97,0.5729999923706055,0.5303555727005005,Leroy Sané,a,337,OpenPlay,Head,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,Kingsley Coman,Cross
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,68,BlockedShot,0.875999984741211,0.524000015258789,0.03361877053976059,Matthijs de Ligt,a,7902,FromCorner,Head,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,Joshua Kimmich,Cross
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,69,BlockedShot,0.860999984741211,0.44599998474121094,0.10897787660360336,Leroy Sané,a,337,OpenPlay,LeftFoot,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,Noussair Mazraoui,Pass
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,69,SavedShot,0.9690000152587891,0.6029999923706054,0.045057423412799835,Serge Gnabry,a,993,OpenPlay,Head,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,,Aerial
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,74,MissedShots,0.919000015258789,0.31799999237060544,0.31026968359947205,Leroy Sané,a,337,OpenPlay,RightFoot,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,Eric Maxim Choupo-Moting,Pass
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,76,MissedShots,0.855,0.5670000076293945,0.09537146985530853,Eric Maxim Choupo-Moting,a,339,OpenPlay,RightFoot,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,,BallRecovery
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,88,SavedShot,0.89,0.3890000152587891,0.3265654146671295,Leroy Sané,a,337,OpenPlay,LeftFoot,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,Mathys Tel,Pass
1685145600---fc_cologne---bayern_munich,DEU Bundesliga 1,2022-2023,2023-05-27 13:30:00,88,Goal,0.8169999694824219,0.654000015258789,0.03496331721544266,Jamal Musiala,a,8418,OpenPlay,RightFoot,19642,FC Cologne,Bayern Munich,1,2,2023-05-27,Serge Gnabry,Pass
